node	degree	length	cluster
s1402	2	8	3
s140510	2	61	3
s105262	2	56	1
s138245	2	66	1
s82156	2	66	1
s137984	2	773	1
s82354	2	264	1
s909	2	379	1
s4898	2	86	1
s129150	2	6063	1
s549	4	1472	1
s134764	2	126	3
s4473	4	204998	3
s105208	2	147	1
s397	4	119	3
s150	2	7	1
s2017	4	9225	3
s146	4	2208	1
s4680	5	1402	1
s138296	2	15	3
s104791	2	6947	3
s120933	2	51	1
s3048	4	15272	1
s125532	2	63	1
s767	4	31825	1
s5019	4	22664	1
s45	3	67	1
s4095	4	168978	3
s395	4	124	3
s105210	2	653	1
s1078	4	12658	1
s5119	4	135	3
s105514	4	11	1
s5037	2	111	3
s129241	2	1624	3
s82667	4	254	1
s139653	2	167	1
s954	4	255885	1
s1498	4	16	3
s83111	2	181	1
s114661	2	453	1
s82756	4	364	1
s5238	2	1	3
s5018	2	120	1
s2338	2	76	1
s1861	4	12291	1
s129166	2	81	1
s105609	3	647	1
s132073	2	270	3
s620	2	84	1
s82961	3	67	3
s104878	2	13	3
s105148	2	1279	1
s3490	4	168062	1
s1044	4	40404	3
s364	5	166	3
s125412	3	22	1
s138241	2	144	1
s81920	2	32	1
s105458	4	49	1
s3976	4	19	3
s114908	2	884	3
s83122	2	64	1
s4437	4	9905	1
s112	4	252	3
s81934	4	190	1
s114989	2	160	3
s114743	3	400	1
s137946	2	70	3
s3318	4	119126	1
s105121	2	71	3
s105554	3	106	3
s105133	2	9	3
s1903	4	93566	3
s1421	4	42841	1
s105704	3	75	1
s81742	3	452	1
s3348	3	2153	3
s81366	3	1247	1
s5008	4	96321	1
s120888	2	61	3
s82450	3	1823	1
s114928	2	207	1
s1415	4	16919	1
s82650	3	169	1
s129	3	112	1
s82807	4	49	1
s121156	2	168	3
s140226	2	1	3
s105223	4	195	1
s105	2	79	1
s105387	2	284	3
s4286	2	7922	1
s131913	2	52	3
s693	4	10833	1
s82114	3	70	1
s2646	4	371344	3
s114864	4	3708	1
s82035	2	828	3
s83268	3	131	3
s3410	4	172641	3
s134629	2	4	3
s2622	4	296	3
s4739	2	11	3
s105530	3	122	1
s125407	2	63	1
s935	4	34046	3
s114516	2	11	1
s4174	2	8	3
s4855	2	13	1
s143422	2	566	1
s5079	2	190	3
s2704	4	32575	3
s81778	2	115	3
s82653	4	90	1
s138253	2	724	1
s529	4	508	1
s3057	4	3719	3
s4277	4	669242	1
s82195	2	57	1
s1736	2	319	1
s140251	2	213	3
s114848	3	611	1
s82758	3	28	1
s2222	4	283517	3
s618	2	2	1
s3316	2	620	1
s105132	4	188	3
s114907	4	261	3
s4686	2	53	1
s104919	2	318	1
s140496	2	58	3
s1043	3	17	1
s3050	4	2723209	3
s3767	4	160284	1
s2237	4	58990	3
s4758	2	22	1
s3326	2	116	1
s129196	2	5777	3
s4222	4	127	1
s2493	4	145197	1
s4477	4	127333	1
s134681	2	213	1
s140519	2	52	1
s2837	4	138928	1
s140413	2	122	1
s81937	2	54	3
s4089	3	32338	1
s82313	2	156	3
s4030	4	231374	3
s82262	2	314	3
s104928	2	333	3
s125458	2	1963	3
s140270	2	10	3
s105043	2	112	3
s107	4	24479	1
s1662	4	25344	1
s125423	3	60	1
s2766	4	695054	1
s120825	4	32	1
s139612	2	17	3
s3113	5	520	1
s121181	2	171	1
s131906	2	146	1
s131952	3	368	1
s81878	4	37	3
s138345	2	3729	1
s114930	2	246	1
s114634	2	26	3
s114784	2	51	1
s105532	4	255	1
s2092	2	270	3
s4047	4	204328	1
s948	3	24	3
s82204	3	68	3
s125355	4	23514	1
s3553	2	77	1
s3409	2	32198	3
s81552	2	1150	1
s104818	2	79	1
s2677	4	24	1
s105450	3	1004	1
s907	3	1	1
s1342	4	116	3
s81924	2	72	3
s125615	2	74	1
s4874	2	78	3
s914	4	13281	1
s734	4	1544	1
s114711	2	54	3
s3335	2	77	1
s82743	4	21	3
s1972	4	261245	3
s3786	4	25	1
s105505	2	135	3
s140486	2	64	1
s2174	4	330479	3
s1902	2	63	3
s1796	4	4479	3
s120853	2	2	1
s81930	4	160	1
s115076	2	3	3
s139623	2	14	3
s104907	2	1	3
s129128	2	321	3
s114868	3	80	3
s140255	2	375	1
s138229	2	1	1
s81834	2	62	1
s82224	3	79	1
s104924	2	200	1
s121034	2	5	3
s105292	3	128	1
s105684	4	619	3
s114782	2	623	1
s4139	2	53	3
s81721	2	1907	3
s3245	4	23312	1
s82159	2	86	3
s3919	2	1932	3
s4872	4	20795	3
s83240	4	74	1
s4756	4	135	1
s831	2	50	3
s687	3	64	3
s132080	2	172	1
s105712	2	198	3
s129130	2	541	3
s81619	2	112	1
s82465	2	1	1
s2722	2	1156	3
s1443	4	103148	1
s2448	4	5556	1
s1144	4	39576	3
s131983	2	236	1
s1288	2	13	3
s131940	2	72	1
s114544	2	127	1
